CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14034
NOMBRE    : CONTLA
ESTADO    : JALISCO
MUNICIPIO : TAMAZULA DE GORDIANO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0019.753°
LONGITUD  : -103.181°
ALTITUD   : 1,160 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0      3.5    32.5   7.5 
02/02/2008  0      3.9    32.5   6.5 
03/02/2008  0      9.4    32.5   7.5 
04/02/2008  0      2.9    32.5   8.5 
05/02/2008  0      5      31.5   7.5 
06/02/2008  0      4      32.5   6.5 
07/02/2008  0      2.8    32.5   6.5 
08/02/2008  0      7.3    33.5   6.5 
09/02/2008  0      2.6    32.5   7.5 
10/02/2008  0      4.2    33.5   8.5 
11/02/2008  0      2.9    34.5   8.5 
12/02/2008  0      5.5    31.5   8.5 
13/02/2008  0      4.8    32.5   8.5 
14/02/2008  0      5.2    32.5   6.5 
15/02/2008  0      4.8    34.5   5.5 
16/02/2008  0      4.5    34.5   6.5 
17/02/2008  0      4.9    34.5   6.5 
18/02/2008  0      5.1    33.5   6.5 
19/02/2008  0      4.9    32.5   6.5 
20/02/2008  0      0.4    34.5   5.5 
21/02/2008  0      2.8    33.5   5.5 
22/02/2008  0      3.2    35.5   6.5 
23/02/2008  0      6.9    37.5   6.5 
24/02/2008  0      6.8    39.5   7.5 
25/02/2008  0      5.1    34.5   9.5 
26/02/2008  0      4.7    34.5   7.5 
27/02/2008  0      3.3    35.5   6.5 
28/02/2008  0      4.1    33.5   7.5 
29/02/2008  0      7.9    33.5   7.5 
01/03/2008  0      3.8    35.5   8.5 
02/03/2008  0      5.4    33.5   9.5 
03/03/2008  0      4.7    34.5   7.5 
04/03/2008  0      5.2    31.5   8.5 
05/03/2008  0      4.5    34.5   8.5 
06/03/2008  0      4.9    33.5   5.5 
07/03/2008  0      5.1    32.5   3.5 
08/03/2008  0      5.9    31.5   3.5 
09/03/2008  0      9.2    31.5   4.5 
10/03/2008  0      0.7    33.5   5.5 
11/03/2008  0      0.7    35.5   7.5 
12/03/2008  0      7.3    34.5   8.5 
13/03/2008  0      5.1    33.5   8.5 
14/03/2008  0      5.9    35.5   6.5 
15/03/2008  0      5.9    33.5   5.5 
16/03/2008  0      5.9    34.5   5.5 
17/03/2008  0      4.8    32.5   7.5 
18/03/2008  0      5.3    30.5   7.5 
19/03/2008  0      4.4    34.5   6.5 
20/03/2008  0      5.9    35.5   7.5 
21/03/2008  0      5.2    37.5   8.5 
22/03/2008  0      8.1    36.5   10.5 
23/03/2008  0      6.5    34.5   8.5 
24/03/2008  0      5.5    31.5   8.5 
25/03/2008  0      4.6    35.5   8.5 
26/03/2008  0      4.1    37.5   7.5 
27/03/2008  0      5.8    36.5   8.5 
28/03/2008  0      5.4    35.5   11.5 
29/03/2008  0      4.8    35.5   8.5 
30/03/2008  0      5.1    36.5   8.5 
31/03/2008  0      9.8    38.5   8.5 
01/04/2008  0      4.2    38.5   9.5 
02/04/2008  0      5.9    39.5   10.5 
03/04/2008  0      4.9    39.5   10.5 
04/04/2008  0      8.3    37.5   10.5 
05/04/2008  0      1.8    34.5   10.5 
06/04/2008  0      5.4    34.5   12.5 
07/04/2008  0      4.7    37.5   10.5 
08/04/2008  0      8.4    36.5   11.5 
09/04/2008  0      5.7    36.5   9.5 
