CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14080
NOMBRE    : LA CUÑA
ESTADO    : JALISCO
MUNICIPIO : YAHUALICA DE GONZALEZ GALLO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0021.007°
LONGITUD  : -102.823°
ALTITUD   : 1,490 msnm
 
EMISIÓN   : 14/08/2019 
 
		           PRECIP  EVAP   TMAX   TMIN
  FECHA   		   mm     mm     °C     °C 
01/01/2008    0.0    3.0    28.0    0.0
02/01/2008    0.0    4.0    22.0    2.0
03/01/2008    0.0    4.0    22.0    0.0
04/01/2008    0.0    4.0    28.0    0.0
05/01/2008    0.0    3.0    28.0    0.0
06/01/2008    0.0    3.0    30.0    0.0
07/01/2008    0.0    4.0    29.0    1.0
08/01/2008    0.0    4.0    29.0    1.0
09/01/2008    0.0    2.0    29.0    0.0
10/01/2008    0.0    4.0    28.0    0.0
11/01/2008    0.0    3.0    28.0    1.0
12/01/2008    0.0    4.0    27.0    0.0
13/01/2008    0.0    3.0    28.0    0.0
14/01/2008    0.0    3.0    29.0    0.0
15/01/2008    0.0    4.0    28.0    0.0
16/01/2008    0.0    3.0    25.0    5.0
17/01/2008    0.0    2.0    26.0    0.0
18/01/2008    0.0    3.0    24.0    1.0
19/01/2008    0.0    2.0    27.0    0.0
20/01/2008    0.0    2.0    26.0    2.0
21/01/2008    0.0    4.0    28.0    3.0
22/01/2008    0.0    2.0    29.0    2.0
23/01/2008    0.0    3.0    32.0    3.0
24/01/2008    0.0    4.0    31.0    5.0
25/01/2008    0.0    4.0    32.0    6.0
26/01/2008    0.0    4.0    30.0    6.0
27/01/2008    0.0    4.0    30.0    5.0
28/01/2008    0.0    3.0    31.0    5.0
29/01/2008    0.0    3.0    30.0    6.0
30/01/2008    0.0    4.0    29.0    6.0
31/01/2008    0.0    5.0    28.0    6.0
01/02/2008    0.0    3.6    27.0    4.0
02/02/2008    0.0    4.4    28.0    4.0
03/02/2008    0.0    4.7    28.0    5.0
04/02/2008    0.0    4.8    27.0    4.0
05/02/2008    0.0    4.2    29.0    4.0
06/02/2008    0.0    4.1    28.0    5.0
07/02/2008    0.0    4.5    27.0    5.0
08/02/2008    0.0    4.4    28.0    3.0
09/02/2008    0.0    4.3    28.0    3.0
10/02/2008    0.0    3.7    27.0    4.0
11/02/2008    0.0    4.9    28.0    5.0
12/02/2008    0.0    4.1    27.0    6.0
13/02/2008    0.0    4.2    28.0    4.0
14/02/2008    0.0    4.4    28.0    4.0
15/02/2008    0.0    4.1    29.0    3.0
16/02/2008    0.0    4.7    27.0    3.0
17/02/2008    0.0    4.3    28.0    3.0
18/02/2008    0.0    4.2    29.0    2.0
19/02/2008    0.0    4.7    29.0    2.0
20/02/2008    0.0    4.1    29.0    3.0
21/02/2008    0.0    4.4    28.0    4.0
22/02/2008    0.0    4.7    29.0    5.0
23/02/2008    0.0    4.1    28.0    2.0
24/02/2008    0.0    4.0    27.0    3.0
25/02/2008    0.0    4.4    28.0    4.0
26/02/2008    0.0    4.3    27.0    5.0
27/02/2008    0.0    5.6    27.0    4.0
28/02/2008    0.0    4.1    29.0    6.0
29/02/2008    0.0    4.7    29.0    6.0
01/03/2008    0.0    4.3    29.0    6.0
02/03/2008    0.0    4.8    28.0    7.0
03/03/2008    0.0    4.2    29.0    4.0
04/03/2008    0.0    4.8    28.0    5.0
05/03/2008    0.0    4.7    28.0    3.0
06/03/2008    0.0    4.3    27.0    3.0
07/03/2008    0.0    4.9    27.0    1.0
08/03/2008    0.0    4.1    28.0    2.0
09/03/2008    0.0    4.3    29.0    3.0
10/03/2008    0.0    4.7    29.0    5.0
11/03/2008    0.0    5.6    28.0    5.0
12/03/2008    0.0    4.4    29.0    5.0
13/03/2008    0.0    4.2    28.0    6.0
14/03/2008    0.0    4.8    29.0    4.0
15/03/2008    0.0    4.7    29.0    5.0
16/03/2008    0.0    4.3    29.0    5.0
17/03/2008    0.0    5.9    29.0    5.0
18/03/2008    0.0    4.1    29.0    7.0
19/03/2008    0.0    5.9    29.0    5.0
20/03/2008    0.0    4.1    29.0    5.0
21/03/2008    0.0    4.7    29.0    6.0
22/03/2008    0.0    4.3    26.0    5.0
23/03/2008    0.0    4.9    29.0    6.0
24/03/2008    0.0    5.1    30.0    5.0
25/03/2008    0.0    5.6    29.0    7.0
26/03/2008    0.0    5.4    29.0    9.0
27/03/2008    0.0    4.3    30.0    9.0
28/03/2008    0.0    4.7    31.0    7.0
29/03/2008    0.0    5.9    30.0    8.0
30/03/2008    0.0    4.8    30.0    7.0
31/03/2008    0.0    5.2    31.0    7.0
01/04/2008    0.0    5.6    31.0    7.0
02/04/2008    0.0    4.4    31.0    7.0
03/04/2008    0.0    5.9    32.0    6.0
04/04/2008    0.0    5.1    32.0    8.0
