CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14119
NOMBRE    : QUITUPAN (CFE)
ESTADO    : JALISCO
MUNICIPIO : QUITUPAN
SITUACIÓN : OPERANDO
ORGANISMO : CFE
CVE-OMM   : Nulo
LATITUD   : 0019.933°
LONGITUD  : -102.883°
ALTITUD   : 1,660 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/12/2010    0.0    2.8    29.5    6.0
02/12/2010    0.0    3.9    28.5    6.0
03/12/2010    0.0    3.5    28.5    7.0
04/12/2010    0.0    Nulo    28.5    6.5
05/12/2010    0.0    4.1    28.5    6.0
06/12/2010    0.0    2.8    28.0    5.5
07/12/2010    0.0    3.5    28.0    4.0
08/12/2010    0.0    3.8    27.0    4.5
09/12/2010    0.0    9.4    25.0    4.0
10/12/2010    0.0    3.9    27.5    5.0
11/12/2010    0.0    3.5    28.0    3.0
12/12/2010    0.0    4.0    28.0    2.5
13/12/2010    0.0    5.1    28.0    1.5
14/12/2010    0.0    4.0    25.5    1.0
15/12/2010    0.0    3.1    Nulo    2.0
16/12/2010    0.0    4.6    26.5    1.5
17/12/2010    0.0    3.1    25.0    3.0
18/12/2010    0.0    3.8    25.0    1.0
19/12/2010    0.0    3.5    26.0    1.0
20/12/2010    0.0    3.8    26.5    1.0
21/12/2010    0.0    3.6    27.5    2.0
22/12/2010    0.0    4.1    27.0    2.0
23/12/2010    0.0    3.1    27.5    2.0
24/12/2010    0.0    3.7    28.0    2.5
25/12/2010    0.0    3.3    25.5    1.5
26/12/2010    0.0    3.6    27.5    2.0
27/12/2010    0.0    3.4    28.0    2.5
28/12/2010    0.0    3.0    28.0    2.0
29/12/2010    0.0    3.2    28.5    3.0
30/12/2010    0.0    3.9    28.0    Nulo
31/12/2010    0.0    4.9    28.5    2.0
--------------------------------------
